Index,STATION,LINENAME,unique_name,NTA dist ID,NTA dist name,Univ_near,University Name,Flatiron district,Dumbo
0,1 AV,L,1 AV - L,,,N,,N,N
1,103 ST,1,103 ST - 1,MN12,Upper West Side,N,,N,N
2,103 ST,6,103 ST - 6,,,N,,N,N
3,103 ST,BC,103 ST - BC,,,N,,N,N
4,103 ST-CORONA,7,103 ST-CORONA - 7,,,N,,N,N
5,104 ST,A,104 ST - A,,,N,,N,N
6,104 ST,JZ,104 ST - JZ,,,N,,N,N
7,110 ST,6,110 ST - 6,,,N,,N,N
8,111 ST,7,111 ST - 7,,,N,,N,N
9,111 ST,A,111 ST - A,,,N,,N,N
10,111 ST,J,111 ST - J,,,N,,N,N
11,116 ST,23,116 ST - 23,,,N,,N,N
12,116 ST,6,116 ST - 6,,,N,,N,N
13,116 ST,BC,116 ST - BC,,,N,,N,N
14,116 ST-COLUMBIA,1,116 ST-COLUMBIA - 1,MN09,Morningside Heights,Y,"Columbia University, Barnard College",N,N
15,121 ST,JZ,121 ST - JZ,,,N,,N,N
16,125 ST,1,125 ST - 1,MN09,Morningside Heights,N,,N,N
17,125 ST,23,125 ST - 23,,,N,,N,N
18,125 ST,456,125 ST - 456,,,N,,N,N
19,125 ST,ACBD,125 ST - ACBD,,,N,,N,N
20,135 ST,23,135 ST - 23,,,N,,N,N
21,135 ST,BC,135 ST - BC,,,N,,N,N
22,137 ST CITY COL,1,137 ST CITY COL - 1,,,N,,N,N
23,138/GRAND CONC,45,138/GRAND CONC - 45,,,N,,N,N
24,14 ST,123FLM,14 ST - 123FLM,MN23,West Village,N,,N,N
25,14 ST,ACEL,14 ST - ACEL,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,N,,Y,N
26,14 ST,FLM123,14 ST - FLM123,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,N,,Y,N
27,14 ST-UNION SQ,456LNQRW,14 ST-UNION SQ - 456LNQRW,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,N,,Y,N
28,14 ST-UNION SQ,LNQR456W,14 ST-UNION SQ - LNQR456W,,,N,,N,N
29,145 ST,1,145 ST - 1,,,N,,N,N
30,145 ST,3,145 ST - 3,,,N,,N,N
31,145 ST,ABCD,145 ST - ABCD,,,N,,N,N
32,149/GRAND CONC,245,149/GRAND CONC - 245,,,N,,N,N
33,14TH STREET,1,14TH STREET - 1,,,N,,N,N
34,15 ST-PROSPECT,FG,15 ST-PROSPECT - FG,,,N,,N,N
35,155 ST,BD,155 ST - BD,,,N,,N,N
36,155 ST,C,155 ST - C,,,N,,N,N
37,157 ST,1,157 ST - 1,,,N,,N,N
38,161/YANKEE STAD,4BD,161/YANKEE STAD - 4BD,,,N,,N,N
39,161/YANKEE STAD,BD4,161/YANKEE STAD - BD4,,,N,,N,N
40,167 ST,4,167 ST - 4,,,N,,N,N
41,167 ST,BD,167 ST - BD,,,N,,N,N
42,168 ST,1AC,168 ST - 1AC,,,N,,N,N
43,168 ST,AC1,168 ST - AC1,,,N,,N,N
44,169 ST,F,169 ST - F,,,N,,N,N
45,170 ST,4,170 ST - 4,,,N,,N,N
46,170 ST,BD,170 ST - BD,,,N,,N,N
47,174 ST,25,174 ST - 25,,,N,,N,N
48,174-175 STS,BD,174-175 STS - BD,,,N,,N,N
49,175 ST,A,175 ST - A,,,N,,N,N
50,176 ST,4,176 ST - 4,,,N,,N,N
51,18 AV,D,18 AV - D,,,N,,N,N
52,18 AV,F,18 AV - F,,,N,,N,N
53,18 AV,N,18 AV - N,,,N,,N,N
54,18 ST,1,18 ST - 1,,,N,,N,N
55,181 ST,1,181 ST - 1,,,N,,N,N
56,181 ST,A,181 ST - A,,,N,,N,N
57,182-183 STS,BD,182-183 STS - BD,,,N,,N,N
